sample_index,chain,draw,sigma_ap_0p5_arcsec_km_s,m2l_ratio,m2l_ratio_slope,total_stellar_mass_Msun,log10_total_stellar_mass,halo_mge_mass_Msun,kappa_s_halo,gammain_halo,Rs_halo,H0_cosmo,omega_m_cosmo
59329,7,3329,141.52600361906437,1.9636778095175853,0.21216895022710824,149875690552.74252,11.175731197124785,3216446569180.55,0.10614404779632493,1.4881532589838469,3.1218179021504064,90.48775613889808,0.3107628872444221
31169,3,7169,145.24051252658245,2.6138114783283086,0.15233538070792219,215253573206.01306,11.332950369467268,3195353792129.2817,0.1670020251191042,1.138866005714037,2.56279695165371,87.53727281326411,0.18952215073544915
36662,4,4662,146.0052142057237,3.4015346661712718,0.24755339179218294,263074477391.80972,11.420078716327566,3972067989988.781,0.06584365791189584,1.2949456480656374,4.457651831619788,87.44901649143434,0.2993328129582088
20788,2,4788,151.50388036693298,3.1430236769851305,0.19319635493036325,245852288961.30188,11.39067425606175,3709045448250.995,0.09228196668628924,1.2228330406191796,3.7173342532220497,89.26370451353188,0.3262015417813794
15847,1,7847,149.36104895104992,3.942163808538069,0.258290989406889,316047548147.8793,11.499752425481763,22325142615144.77,0.03244948008085705,1.2212585807865417,14.893535015479394,83.04178279332314,0.4144112072328916
38310,4,6310,158.57353253256704,3.9821000450611512,0.2960650108513584,272413302813.8327,11.435228311748736,2573824172685.998,0.03546524583121702,1.5666376381092153,4.913550867547323,93.94763618405148,0.5420879070340587
58437,7,2437,152.5302431571578,3.273183422175312,0.1941332597578762,277280761903.3761,11.44291973871223,9536972270592.258,0.10076100027556248,1.0198158459993658,5.630459434303602,80.77226010660591,0.5301983680965149
35157,4,3157,155.2733265201101,2.729661600386173,0.11803960140114844,226510266345.4431,11.355087890746788,5256483219981.89,0.14946829624377606,1.0508334845690526,3.5433797108000604,88.26871249863623,0.36051385633526906
56165,7,165,152.71394204294015,2.5815149128846846,0.1658713798613335,196509061039.6399,11.293382580506812,3466428802992.0254,0.11765108167613646,1.3433831811001462,3.19928207462348,93.39875484725238,0.3227403974906082
36601,4,4601,143.6628088060051,3.0687924136942546,0.23460069166289554,247532742448.6113,11.393632653468563,3464647674571.4077,0.06406627885624308,1.3498740433347742,4.115671158260316,84.50604590578232,0.2994785831835994
21352,2,5352,153.25204230081297,2.6303615538682013,0.11207474441245024,233133504819.57233,11.367604692708095,3399016948255.4077,0.2082171122084063,0.8827020148456252,2.390625112604393,82.70667816289085,0.3993121220462037
22386,2,6386,153.90661429379068,3.5382107017398563,0.22819142117390612,274816243607.56628,11.439042399059428,1991606699597.1597,0.10237564230164425,1.1474216905744923,2.5937294074524972,86.95554363746768,0.452337647803807
20722,2,4722,156.91670668540772,3.9564606281558063,0.29768580164710023,259912360117.66293,11.414826932841754,1515883750114.1274,0.07929109475989482,1.422616009824277,2.632700928195699,98.61951650594693,0.45933518385705724
19038,2,3038,159.32923348619858,3.646811100409988,0.20299110042996726,277664765758.2303,11.443520773493114,2461592865855.654,0.15831144753560317,0.9365845907891215,2.425630326879668,89.99657926047973,0.4645067425549995
49060,6,1060,145.45464520529075,3.203092530080382,0.2498234188941577,247966570892.41675,11.394393136247478,1778753735511.4133,0.14761490679522074,1.2405483631658636,2.005457205556604,87.49253333259784,0.23880365624125077
17885,2,1885,146.14723189962496,3.1896992137993503,0.21446155955240953,246748060938.8286,11.392253748466798,2625183253271.476,0.10736274569127448,1.2309356983889392,2.8927443441108807,89.51182709331451,0.19557531393402
45644,5,5644,140.19223708806777,2.79715818522627,0.16566047854606902,256851649802.25864,11.409682359617358,3509978656243.0415,0.16736933322230962,0.9266306291573642,2.5995383961344016,77.78570374513997,0.17607497467262812
48216,6,216,144.62988266400268,2.690526846751995,0.12604198525200294,234904658987.78064,11.370891630454144,5970539223938.611,0.1322562208931647,1.0566218254206214,3.899961947900821,83.87596960829552,0.13944241261633805
46542,5,6542,142.3086601651134,3.7622864147332145,0.31782410176418796,265722145545.56223,11.42442775044886,1168403655061.1965,0.08544774279870684,1.444715579675397,2.1279836080523307,92.12177907785576,0.14943533634850292
27894,3,3894,149.90179711842072,1.0160350394651199,-0.1656086449451833,133818498116.81552,11.126516151359883,58270267453154.766,0.05648890821116744,1.3443905287994438,16.52008282564038,69.8988058869731,0.5110517747713675
41876,5,1876,146.31430470397254,2.976129099357558,0.2055542366445383,278396762156.7726,11.444664179984414,6461020237963.366,0.0683472696228184,1.178134555684627,5.22494659639494,72.46985308110399,0.5485463036330138
13645,1,5645,141.67441345269708,2.970057236190449,0.23258857988438875,267381627283.63348,11.427131562075303,1988615928298.2666,0.10816161395333475,1.1625100121049565,2.334181982107517,75.20867804664263,0.39947916850226095
24300,3,300,135.81050233232705,3.5448774172636046,0.2891951346457601,270001790857.41507,11.43136664474015,1874203078112.078,0.06124262116545351,1.4277866432640973,3.0984010499546644,85.67221545971118,0.06711510037513514
23463,2,7463,145.4632221148335,4.034891882730721,0.2914827595324514,321104088858.04395,11.506645835797519,14640098606534.742,0.032156579142625256,1.2895672875077424,11.927690278834548,82.38606371469176,0.3713001450049477
35006,4,3006,157.66361474003259,2.499368787192035,0.10629990008786849,219792965910.69928,11.342013789474866,6122983770282.995,0.10955197017338048,1.2117624318207696,4.264422355716604,82.87080674572046,0.49787764158770476
35068,4,3068,153.6843043987496,2.5158917818883157,0.1142388924004315,230074530999.41837,11.361868545402183,5501865285168.65,0.1297972730541414,1.0726924156109887,3.7001363508806073,78.89359738785579,0.5379437501335351
34505,4,2505,137.8548294600085,2.8010378653445174,0.24194318153110905,242906555276.76422,11.385439235192578,8330020267404.042,0.0316244090509836,1.5110905571531243,8.524476477860404,78.42695419694097,0.2565108788240655
26532,3,2532,140.7702455347327,2.894879360752965,0.19192205806205564,262783635291.3491,11.419598316276039,6629469061584.934,0.07287679476407648,1.20277861648687,5.208001121996235,77.36666228081121,0.2237035897733644
5552,0,5552,148.8526353242015,3.5389795686004,0.23148561983032268,304464972881.6078,11.48353733651163,2151409454348.3174,0.16349102365837437,0.7938202575483614,2.116768448063633,78.20697094328995,0.4695905249789877
44257,5,4257,141.64050690312172,3.3875090954485696,0.2244729854691505,253889190307.43375,11.404644210563479,2110000573826.7139,0.16415545823034136,1.0477086354127392,2.177186582043582,91.18089976357338,0.1023516337034607
